index,date,service,instance,level,anomaly_type,st_time,duration,ed_time,data_type
0,2022-05-01,recommendationservice,recommendationservice-0,pod,k8s容器读io负载,2022-05-01 01:48:57.000000,600,2022-05-01 01:58:57.000000,train
1,2022-05-01,frontend,frontend-2,pod,k8s容器内存负载,2022-05-01 03:37:36.000000,600,2022-05-01 03:47:36.000000,train
2,2022-05-01,paymentservice,paymentservice,service,k8s容器网络资源包重复发送,2022-05-01 06:36:09.000000,600,2022-05-01 06:46:09.000000,train
3,2022-05-01,currencyservice,currencyservice,service,k8s容器网络丢包,2022-05-01 07:45:27.000000,600,2022-05-01 07:55:27.000000,train
4,2022-05-01,emailservice,emailservice,service,k8s容器网络丢包,2022-05-01 08:36:55.000000,600,2022-05-01 08:46:55.000000,train
5,2022-05-01,checkoutservice,checkoutservice-0,pod,k8s容器cpu负载,2022-05-01 08:51:11.000000,600,2022-05-01 09:01:11.000000,train
6,2022-05-01,cartservice,cartservice,service,k8s容器网络资源包重复发送,2022-05-01 09:05:22.000000,600,2022-05-01 09:15:22.000000,train
7,2022-05-01,checkoutservice,checkoutservice,service,k8s容器cpu负载,2022-05-01 09:37:43.000000,600,2022-05-01 09:47:43.000000,train
8,2022-05-01,emailservice,emailservice,service,k8s容器cpu负载,2022-05-01 12:46:57.000000,600,2022-05-01 12:56:57.000000,train
9,2022-05-01,frontend,frontend-0,pod,k8s容器写io负载,2022-05-01 13:23:00.000000,600,2022-05-01 13:33:00.000000,train
10,2022-05-01,productcatalogservice,productcatalogservice-0,pod,k8s容器网络资源包损坏,2022-05-01 13:43:39.000000,600,2022-05-01 13:53:39.000000,train
11,2022-05-01,paymentservice,paymentservice,service,k8s容器cpu负载,2022-05-01 14:28:53.000000,600,2022-05-01 14:38:53.000000,train
12,2022-05-01,recommendationservice,recommendationservice-0,pod,k8s容器写io负载,2022-05-01 16:03:16.000000,600,2022-05-01 16:13:16.000000,train
13,2022-05-01,emailservice,emailservice-1,pod,k8s容器读io负载,2022-05-01 16:23:00.000000,600,2022-05-01 16:33:00.000000,train
14,2022-05-01,frontend,frontend-0,pod,k8s容器cpu负载,2022-05-01 17:49:36.000000,600,2022-05-01 17:59:36.000000,train
15,2022-05-01,emailservice,emailservice,service,k8s容器读io负载,2022-05-01 17:55:58.000000,600,2022-05-01 18:05:58.000000,train
16,2022-05-01,paymentservice,paymentservice,service,k8s容器cpu负载,2022-05-01 18:32:20.000000,600,2022-05-01 18:42:20.000000,train
17,2022-05-01,frontend,frontend,service,k8s容器读io负载,2022-05-01 18:58:00.000000,600,2022-05-01 19:08:00.000000,train
18,2022-05-01,shippingservice,shippingservice-0,pod,k8s容器cpu负载,2022-05-01 20:20:33.000000,600,2022-05-01 20:30:33.000000,test
19,2022-05-01,cartservice,cartservice-2,pod,k8s容器网络丢包,2022-05-01 21:03:52.000000,600,2022-05-01 21:13:52.000000,test
20,2022-05-01,emailservice,emailservice,service,k8s容器网络资源包重复发送,2022-05-01 22:22:56.000000,600,2022-05-01 22:32:56.000000,test
21,2022-05-01,frontend,frontend,service,k8s容器网络资源包重复发送,2022-05-01 22:37:20.000000,600,2022-05-01 22:47:20.000000,test
22,2022-05-01,recommendationservice,recommendationservice-2,pod,k8s容器网络资源包损坏,2022-05-01 22:59:26.000000,600,2022-05-01 23:09:26.000000,test
23,2022-05-01,currencyservice,currencyservice-2,pod,k8s容器读io负载,2022-05-01 23:40:05.000000,600,2022-05-01 23:50:05.000000,test
24,2022-05-01,shippingservice,shippingservice-2,pod,k8s容器网络丢包,2022-05-01 05:52:35.000000,600,2022-05-01 06:02:35.000000,train
25,2022-05-01,productcatalogservice,productcatalogservice-2,pod,k8s容器进程中止,2022-05-01 12:36:35.000000,600,2022-05-01 12:46:35.000000,train
26,2022-05-01,frontend,frontend-1,pod,k8s容器网络延迟,2022-05-01 11:59:46.000000,600,2022-05-01 12:09:46.000000,train
27,2022-05-01,shippingservice,shippingservice,service,k8s容器网络延迟,2022-05-01 19:08:58.000000,600,2022-05-01 19:18:58.000000,test
28,2022-05-01,checkoutservice,checkoutservice,service,k8s容器网络延迟,2022-05-01 15:10:43.000000,600,2022-05-01 15:20:43.000000,train
29,2022-05-01,checkoutservice2,checkoutservice2-0,pod,k8s容器进程中止,2022-05-01 14:06:13.000000,600,2022-05-01 14:16:13.000000,train
